"determinand","biota.sd_constant","biota.sd_variable","sediment.sd_constant","sediment.sd_variable","water.sd_constant","water.sd_variable"
"HCEPC",,,,,,
"HCEPT",,,,,,
"HCEPX",0.0139,0.165,0.006667,0.376063,0,0.15
"HCHA",0.003483,0.227,0.005167,0.3,0,0.139
"HCHB",0.006667,0.231818,0.006667,0.38234,0,0.15
"HCHD",,,,,,
"HCHG",0.0114,0.273053,0.005,0.3,0,0.114
"HCH",0.013333,0.22,,,0,0.1076
"ISOD",0.033333,0.165139,,,0,0.214
"MCCP",0.333333,0.138965,,,,
"OCDAN",0.001,0.175,,,,
"SCCP",0.333333,0.139728,,,,
"TDEPP",0.006667,0.197,0.006667,0.3,0,0.16425
"CDD1N",4e-06,0.15,7.3e-05,0.237592,,
"CDD4X",,,,,,
"CDD6P",,,,,,
"CDD6X",,,,,,
"CDD9X",,,,,,
"CDDO",,,,,,
"TCDD",4e-06,0.14,6e-05,0.237592,,
"CDF2N",,,,,,
"CDF2T",8e-06,0.149717,6.7e-05,0.237592,,
"CDF4X",,,,,,
"CDF6P",,,,,,
"CDF6X",,,,,,
"CDF9P",,,,,,
"CDF9X",,,,,,
"CDFDN",,,,,,
"CDFO",,,,,,
"CDFP2",,,,,,
"CDFX1",,,,,,
"TEQDFP",1.8e-05,0.1375,3.9e-05,0.237592,,
"PFOA",0.075,0.178,,,,
"PFNA",0.05,0.25,,,,
"PFDA",0.043333,0.249459,,,,
"PFUNDA",0.04,0.241605,,,,
"PFDOA",0.046667,0.278512,,,,
"PFTRDA",0.07,0.26,,,,
"PFTDA",0.07,0.323489,,,,
"PFBS",0.033333,0.34,,,,
"PFHXS",0.018333,0.129765,,,,
"N-PFHXS",,,,,,
"BR-PFHXS",,,,,,
"PFOS",0.066667,0.199772,,,0.003333,0.172725
"N-PFOS",,,,,,
"BR-PFOS",,,,,,
"PFOSA",0.171667,0.165,,,,
"ATRZ",,,,,0.976667,0.110279
"GLYPH",,,,,6.166667,0.202951
"IMDCP",,,,,0.005567,0.15
"CORG",,,0.01,0.1,,
"NORG",,,,,,
"AGMEA",,,,,,
"AGMIN",,,,,,
"AGMAX",,,,,,
"LNMEA",,,,,,
"LNMIN",,,,,,
"LNMAX",,,,,,
"WTMEA",,,,,,
"WTMIN",,,,,,
"WTMAX",,,,,,
"DRYWT%",,,,,,
"EXLIP%",,,,,,
"LIPIDWT%",,,,,,
"FATWT%",,,,,,
"%FEMALEPOP",,,,,,
"%MALEPOP",,,,,,
"CMT-QC-NR",,,,,,
"MNC-QC-NR",,,,,,
"C13",,,,,,
"C13D",,,,,,
"N15",,,,,,
"N15D",,,,,,
"MORT%",,,,,,
"GOSOI",,,,,,
"EROD",0.5055,0.054412,,,,
"GST",0,0.2,,,,
"SFG",,,,,,
"BAP3OH",0.123333,0.2,,,,
"NAP2OH",0.123333,0.175,,,,
"PA1OH",0.123333,0.175,,,,
"PYR1OH",0.123333,0.15,,,,
"PYR1OHEQ",0.123333,0.175,,,,
"ACHE",0,0.4,,,,
"ALAD",0,0.2,,,,
"SURVT",,,,,,
"%DNATAIL",,,,,,
"MNC",,,,,,
"NRR",,,,,,
"LP",,,,,,
"VDS",,,,,,
"VDSI",,,,,,
"IMPS",,,,,,
"PCI",,,,,,
"INTS",,,,,,
"INTSI",,,,,,
"GSMF63",,,,,,
